,time_value,geo_value,cc,value,sample_size
866,2020-09-25,co,5,86.58026890000001,4585.0375
917,2020-09-26,co,5,86.7798969,4624.0388
968,2020-09-27,co,5,86.5326208,4679.9783
1019,2020-09-28,co,5,86.5485329,4692.9482
1070,2020-09-29,co,5,86.8418367,4661.0078
1121,2020-09-30,co,5,86.6217525,4592.0418
1172,2020-10-01,co,5,86.1115415,4603.0718
1223,2020-10-02,co,5,86.20735140000001,4714.8078
1274,2020-10-03,co,5,85.91105959999999,4700.8078
1325,2020-10-04,co,5,86.34450809999998,4681.839
1376,2020-10-05,co,5,86.39348129999999,4764.8392
1427,2020-10-06,co,5,86.7918325,4900.7784
1478,2020-10-07,co,5,87.08421109999999,4980.7793
1529,2020-10-08,co,5,87.62163609999999,5043.842000000001
1580,2020-10-09,co,5,87.4503075,4998.8747
1631,2020-10-10,co,5,87.5956422,5008.845
1682,2020-10-11,co,5,87.31727559999999,4953.8447
1733,2020-10-12,co,5,87.2996309,4891.8444
1784,2020-10-13,co,5,87.24955440000001,4770.9046
1835,2020-10-14,co,5,87.0524374,4736.874
1886,2020-10-15,co,5,86.76312370000001,4708.8748
1937,2020-10-16,co,5,86.93881970000001,4641.8461
1988,2020-10-17,co,5,87.08264969999999,4600.8749
2039,2020-10-18,co,5,87.3886916,4593.8452
2090,2020-10-19,co,5,87.70865400000001,4558.8765
2141,2020-10-20,co,5,87.719349,4505.8474
2192,2020-10-21,co,5,87.9896344,4423.8478
2243,2020-10-22,co,5,88.3550469,4304.8181
2294,2020-10-23,co,5,88.3179728,4282.8481
2345,2020-10-24,co,5,88.4667405,4207.7885
2396,2020-10-25,co,5,88.5081983,4109.848
2447,2020-10-26,co,5,88.7527563,3985.8479
2498,2020-10-27,co,5,89.0888687,3842.8773
2549,2020-10-28,co,5,89.9472371,3693.9076
2600,2020-10-29,co,5,90.457396,3545.9375
2651,2020-10-30,co,5,90.81543309999999,3324.9075
2702,2020-10-31,co,5,90.8543773,3360.9384
2753,2020-11-01,co,5,90.83499259999999,3462.9383
2804,2020-11-02,co,5,90.72420890000001,3550.9364
2855,2020-11-03,co,5,90.514775,3577.9367
2906,2020-11-04,co,5,90.0398892,3316.937
2957,2020-11-05,co,5,89.58370359999999,3228.9033
3008,2020-11-06,co,5,90.0644642,3344.9323
3059,2020-11-07,co,5,90.268585,3024.9320000000002
3110,2020-11-08,co,5,90.18653979999999,2693.9312
3161,2020-11-09,co,5,90.7070137,2661.933
3212,2020-11-10,co,5,91.13693719999999,2903.9326
3263,2020-11-11,co,5,91.1055939,3365.9027
3314,2020-11-12,co,5,91.36737430000001,3676.9065
3365,2020-11-13,co,5,91.3696204,3816.9074
3416,2020-11-14,co,5,91.5966132,4288.937
3467,2020-11-15,co,5,92.0421662,4679.907
